season,round,pick,team,pfr_player_name,position,age,hof,allpro,probowls,seasons_started,seasons_played,w_av,games,RAS,w_av_py,stratum
2020,3,92,BAL,Devin Duvernay,WR,22,FALSE,1,2,1,6,12,89,7.86,2,Stratum 2
2020,3,93,TEN,Darrynton Evans,RB,22,FALSE,0,0,0,5,3,24,9.11,0.6,Stratum 3
2020,3,95,DEN,McTelvin Agim,DT,22,FALSE,0,0,0,4,2,18,8.55,0.5,Stratum 3
2020,3,97,CLE,Jacob Phillips,LB,21,FALSE,0,0,0,3,5,20,8.2,1.6666666666666667,Stratum 2
2020,3,98,BAL,Malik Harrison,LB,22,FALSE,0,0,1,6,19,87,9.43,3.1666666666666665,Stratum 4
2020,3,100,LVR,Tanner Muse,S,24,FALSE,0,0,0,5,2,36,9.96,0.4,Stratum 4
2020,3,101,NWE,Dalton Keene,TE,21,FALSE,0,0,0,4,0,7,9.33,0,Stratum 3
2020,3,103,PHI,Davion Taylor,LB,22,FALSE,0,0,0,2,3,21,8.53,1.5,Stratum 3
2020,3,104,LAR,Terrell Burgess,S,21,FALSE,0,0,0,6,4,59,8.1,0.6666666666666666,Stratum 2
2020,3,105,NOR,Adam Trautman,TE,23,FALSE,0,0,4,6,11,94,8.74,1.8333333333333333,Stratum 3
2020,3,106,BAL,Tyre Phillips,OT,23,FALSE,0,0,1,5,11,47,2.17,2.2,Stratum 1
